epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
78,1193.55,1.39173,1.59093,1.48901,0.62106,0.54145,0.56324,0.36391,1.2926,1.17486,1.40612,0.0254262,0.0084754,0.0254262,0.0084754,0.0254262,0.0084754,0.0254262,0.0084754
79,1208.59,1.383,1.58208,1.4839,0.63267,0.58291,0.60231,0.38568,1.31515,1.14358,1.41886,0.0253668,0.0084556,0.0253668,0.0084556,0.0253668,0.0084556,0.0253668,0.0084556
80,1224.19,1.37325,1.55908,1.48448,0.60074,0.60521,0.57886,0.36132,1.326,1.20567,1.43153,0.0253074,0.0084358,0.0253074,0.0084358,0.0253074,0.0084358,0.0253074,0.0084358
81,1239.36,1.37167,1.55962,1.48219,0.65042,0.58377,0.58748,0.35614,1.34632,1.22473,1.43626,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
82,1254.48,1.36557,1.55987,1.47562,0.62779,0.61361,0.57989,0.35997,1.3174,1.17316,1.41362,0.0251886,0.0083962,0.0251886,0.0083962,0.0251886,0.0083962,0.0251886,0.0083962
83,1269.87,1.35782,1.55449,1.46994,0.69496,0.51665,0.59056,0.35003,1.35572,1.2041,1.43194,0.0251292,0.0083764,0.0251292,0.0083764,0.0251292,0.0083764,0.0251292,0.0083764
84,1285,1.36989,1.5432,1.47213,0.69158,0.55036,0.59934,0.38177,1.30899,1.15382,1.42881,0.0250698,0.0083566,0.0250698,0.0083566,0.0250698,0.0083566,0.0250698,0.0083566
85,1300.1,1.36195,1.54981,1.46977,0.62298,0.57386,0.59461,0.36895,1.32258,1.18605,1.45591,0.0250104,0.0083368,0.0250104,0.0083368,0.0250104,0.0083368,0.0250104,0.0083368
86,1315.35,1.36551,1.55334,1.47506,0.70372,0.56788,0.61247,0.37676,1.30482,1.15121,1.42723,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
87,1330.45,1.35555,1.53102,1.4668,0.59951,0.60439,0.56671,0.36715,1.3104,1.2146,1.42799,0.0248916,0.0082972,0.0248916,0.0082972,0.0248916,0.0082972,0.0248916,0.0082972
88,1345.81,1.35351,1.5392,1.46931,0.57825,0.58453,0.55239,0.35703,1.25592,1.20375,1.37282,0.0248322,0.0082774,0.0248322,0.0082774,0.0248322,0.0082774,0.0248322,0.0082774
89,1360.86,1.35357,1.5399,1.46572,0.54232,0.61413,0.5739,0.35416,1.27984,1.19486,1.38192,0.0247728,0.0082576,0.0247728,0.0082576,0.0247728,0.0082576,0.0247728,0.0082576
90,1375.92,1.34632,1.53279,1.46858,0.61172,0.57998,0.57406,0.36436,1.34402,1.18577,1.44507,0.0247134,0.0082378,0.0247134,0.0082378,0.0247134,0.0082378,0.0247134,0.0082378
91,1391.14,1.34981,1.51514,1.4561,0.56448,0.5944,0.57792,0.38398,1.29433,1.1792,1.41148,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
92,1406.37,1.33945,1.49854,1.44717,0.62826,0.59716,0.58283,0.38081,1.28614,1.12996,1.3949,0.0245946,0.0081982,0.0245946,0.0081982,0.0245946,0.0081982,0.0245946,0.0081982
93,1421.48,1.34607,1.51189,1.46619,0.56579,0.5862,0.57166,0.3595,1.35877,1.17735,1.45779,0.0245352,0.0081784,0.0245352,0.0081784,0.0245352,0.0081784,0.0245352,0.0081784
94,1436.62,1.32913,1.47756,1.4394,0.68906,0.54746,0.58838,0.36383,1.2915,1.16714,1.41229,0.0244758,0.0081586,0.0244758,0.0081586,0.0244758,0.0081586,0.0244758,0.0081586
95,1451.96,1.3375,1.5024,1.44676,0.65097,0.53971,0.59495,0.36797,1.29874,1.16355,1.41287,0.0244164,0.0081388,0.0244164,0.0081388,0.0244164,0.0081388,0.0244164,0.0081388
96,1466.93,1.32633,1.48186,1.44377,0.63319,0.5969,0.58944,0.37114,1.25772,1.16,1.37992,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
97,1481.88,1.32556,1.49573,1.44074,0.67144,0.5703,0.61363,0.38321,1.24706,1.14158,1.38587,0.0242976,0.0080992,0.0242976,0.0080992,0.0242976,0.0080992,0.0242976,0.0080992
98,1496.97,1.3276,1.47378,1.435,0.69122,0.48211,0.57326,0.34784,1.29545,1.20908,1.41709,0.0242382,0.0080794,0.0242382,0.0080794,0.0242382,0.0080794,0.0242382,0.0080794
99,1512.09,1.32246,1.47583,1.44586,0.59741,0.56748,0.5753,0.33718,1.33991,1.20568,1.43781,0.0241788,0.0080596,0.0241788,0.0080596,0.0241788,0.0080596,0.0241788,0.0080596
100,1527.54,1.33432,1.47399,1.43804,0.60565,0.58792,0.59182,0.37376,1.2691,1.1915,1.38696,0.0241194,0.0080398,0.0241194,0.0080398,0.0241194,0.0080398,0.0241194,0.0080398
101,1542.72,1.31923,1.48572,1.44466,0.64809,0.59432,0.61149,0.39052,1.29257,1.1115,1.39934,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
102,1557.74,1.32565,1.48165,1.43703,0.5937,0.59126,0.5907,0.36727,1.32308,1.1496,1.43895,0.0240006,0.0080002,0.0240006,0.0080002,0.0240006,0.0080002,0.0240006,0.0080002
103,1572.85,1.31266,1.46067,1.43057,0.63353,0.63464,0.59839,0.39096,1.27157,1.1459,1.38887,0.0239412,0.0079804,0.0239412,0.0079804,0.0239412,0.0079804,0.0239412,0.0079804
104,1587.93,1.3092,1.45883,1.43612,0.61655,0.56507,0.56828,0.35658,1.30415,1.19014,1.41509,0.0238818,0.0079606,0.0238818,0.0079606,0.0238818,0.0079606,0.0238818,0.0079606
105,1603.14,1.30492,1.4525,1.42729,0.62496,0.6118,0.59862,0.37447,1.26729,1.11552,1.39829,0.0238224,0.0079408,0.0238224,0.0079408,0.0238224,0.0079408,0.0238224,0.0079408
106,1618.34,1.30955,1.44804,1.42216,0.62135,0.62659,0.59534,0.37068,1.26143,1.13237,1.39052,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
107,1633.52,1.3114,1.4388,1.41948,0.73425,0.50107,0.58892,0.36471,1.24796,1.12891,1.39373,0.0237036,0.0079012,0.0237036,0.0079012,0.0237036,0.0079012,0.0237036,0.0079012
108,1648.89,1.29311,1.43296,1.41602,0.59715,0.62894,0.60152,0.3517,1.25374,1.11986,1.38961,0.0236442,0.0078814,0.0236442,0.0078814,0.0236442,0.0078814,0.0236442,0.0078814
109,1664.27,1.29784,1.42465,1.41129,0.67745,0.59053,0.61766,0.4011,1.22729,1.10374,1.36423,0.0235848,0.0078616,0.0235848,0.0078616,0.0235848,0.0078616,0.0235848,0.0078616
110,1679.42,1.29666,1.42669,1.41651,0.72923,0.5451,0.58682,0.37326,1.26123,1.13541,1.38991,0.0235254,0.0078418,0.0235254,0.0078418,0.0235254,0.0078418,0.0235254,0.0078418
111,1694.65,1.29794,1.42742,1.41649,0.72346,0.52901,0.58602,0.3696,1.28708,1.14857,1.402,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
112,1709.81,1.30023,1.42002,1.41361,0.6655,0.59112,0.60176,0.38737,1.25153,1.12696,1.3913,0.0234066,0.0078022,0.0234066,0.0078022,0.0234066,0.0078022,0.0234066,0.0078022
113,1725.2,1.28993,1.41508,1.41145,0.71744,0.57001,0.60492,0.38139,1.27186,1.10662,1.40088,0.0233472,0.0077824,0.0233472,0.0077824,0.0233472,0.0077824,0.0233472,0.0077824
114,1740.19,1.27904,1.42182,1.4163,0.6473,0.55892,0.56142,0.36589,1.29019,1.14527,1.41158,0.0232878,0.0077626,0.0232878,0.0077626,0.0232878,0.0077626,0.0232878,0.0077626
115,1755.14,1.28504,1.42206,1.41074,0.66609,0.58632,0.60323,0.37844,1.25867,1.11844,1.39285,0.0232284,0.0077428,0.0232284,0.0077428,0.0232284,0.0077428,0.0232284,0.0077428
116,1770.35,1.28667,1.4217,1.41258,0.62754,0.65771,0.62354,0.39559,1.2603,1.09936,1.38341,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
117,1785.68,1.2794,1.42314,1.40844,0.67971,0.57727,0.60445,0.37693,1.21934,1.09199,1.364,0.0231096,0.0077032,0.0231096,0.0077032,0.0231096,0.0077032,0.0231096,0.0077032
118,1800.63,1.28412,1.40085,1.41091,0.70475,0.58439,0.61234,0.386,1.25039,1.13753,1.36925,0.0230502,0.0076834,0.0230502,0.0076834,0.0230502,0.0076834,0.0230502,0.0076834
119,1815.62,1.27684,1.39192,1.40693,0.64173,0.61436,0.60005,0.3847,1.25767,1.11969,1.37473,0.0229908,0.0076636,0.0229908,0.0076636,0.0229908,0.0076636,0.0229908,0.0076636
120,1830.7,1.26481,1.38378,1.38934,0.63178,0.609,0.60351,0.38356,1.25848,1.10921,1.40057,0.0229314,0.0076438,0.0229314,0.0076438,0.0229314,0.0076438,0.0229314,0.0076438
121,1845.97,1.28093,1.39424,1.39874,0.66083,0.59812,0.59747,0.3611,1.3155,1.17878,1.41596,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
122,1860.85,1.26235,1.38271,1.39704,0.65221,0.6253,0.60847,0.36497,1.26112,1.1234,1.38977,0.0228126,0.0076042,0.0228126,0.0076042,0.0228126,0.0076042,0.0228126,0.0076042
123,1875.96,1.28211,1.39958,1.40601,0.70415,0.58449,0.61682,0.38294,1.28031,1.07775,1.40202,0.0227532,0.0075844,0.0227532,0.0075844,0.0227532,0.0075844,0.0227532,0.0075844
124,1891.14,1.26966,1.40132,1.39858,0.66833,0.59584,0.59151,0.35698,1.28289,1.18134,1.39831,0.0226938,0.0075646,0.0226938,0.0075646,0.0226938,0.0075646,0.0226938,0.0075646
125,1906.39,1.26138,1.37089,1.39191,0.63763,0.61441,0.60032,0.3725,1.23675,1.10779,1.3761,0.0226344,0.0075448,0.0226344,0.0075448,0.0226344,0.0075448,0.0226344,0.0075448
126,1921.48,1.26296,1.3771,1.38786,0.69118,0.57544,0.60153,0.3686,1.27493,1.12601,1.41835,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
127,1936.79,1.2584,1.36519,1.3862,0.65962,0.61748,0.62185,0.38817,1.28594,1.12887,1.41462,0.0225156,0.0075052,0.0225156,0.0075052,0.0225156,0.0075052,0.0225156,0.0075052
128,1951.82,1.26035,1.37811,1.38728,0.68793,0.6176,0.62487,0.38554,1.23734,1.11731,1.38355,0.0224562,0.0074854,0.0224562,0.0074854,0.0224562,0.0074854,0.0224562,0.0074854
129,1966.71,1.25158,1.37193,1.39017,0.66313,0.55522,0.59256,0.37253,1.28928,1.14159,1.39205,0.0223968,0.0074656,0.0223968,0.0074656,0.0223968,0.0074656,0.0223968,0.0074656
130,1981.72,1.23767,1.35789,1.38432,0.66438,0.60053,0.60896,0.38968,1.2404,1.11436,1.36686,0.0223374,0.0074458,0.0223374,0.0074458,0.0223374,0.0074458,0.0223374,0.0074458
131,1996.92,1.27325,1.37459,1.38928,0.6587,0.61832,0.60952,0.38541,1.26188,1.14472,1.38575,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
